names,Price,Area,Unit Type,Starting Price,Maximum Price,lat,lon,geometry
42 Queens Square bangalore,78 L -1.56 Cr,1691-2170 sq.ft,3 BHK Apartment,78 L ,1.56 Cr,12.8525569,77.7825326,POINT (77.7825326 12.8525569)
A Peace Paramount bangalore,41.78 L -44.72 L,1100-1177 sq.ft,2 BHK Apartment,41.78 L ,44.72 L,13.1141821,77.56665579999999,POINT (77.56665579999999 13.1141821)
AR Splendor Park bangalore,40.11 L -43.85 L,1146-1253 sq.ft,2 BHK Apartment,40.11 L ,43.85 L,13.042217,77.6552918,POINT (77.6552918 13.042217)
ARS Bhavisha bangalore,51 L -65 L,1000-1260 sq.ft,2 BHK Apartment,51 L ,65 L,12.8596605,77.7656243,POINT (77.7656243 12.8596605)
Aakruthi Aura bangalore,36 L -46.85 L,1115-1129 sq.ft,2 BHK Apartment,36 L ,46.85 L,12.9650697,77.75108770000001,POINT (77.75108770000001 12.9650697)
Aakruti Amity  bangalore,1.07 Cr -1.14 Cr,1335-1455 sq.ft,2 BHK Apartment,1.07 Cr ,1.14 Cr,12.8340825,77.6950016,POINT (77.6950016 12.8340825)
Aashrayaa Eternia bangalore,76.87 L -1.15 Cr,1156-1447 sq.ft,2 BHK Apartment,76.87 L ,1.15 Cr,12.8842757,77.62795570000002,POINT (77.62795570000002 12.8842757)
Aban Desire bangalore,59.98 L -72.33 L,954-1162 sq.ft,2 BHK Apartment,59.98 L ,72.33 L,12.8281273,77.7766475,POINT (77.7766475 12.8281273)
Adarsh Citrine bangalore,36.10 L,690 sq.ft,1 BHK Apartment,36.10 L,0,12.8954456,77.5884526,POINT (77.5884526 12.8954456)
Adarsh Palm Meadows bangalore,3.48 Cr -4.64 Cr,1800-2400 sq.ft,3 BHK Apartment,3.48 Cr ,4.64 Cr,12.9574201,77.74059419999999,POINT (77.74059419999999 12.9574201)
Adarsh Palm Retreat Condominiums bangalore,56.77 L -62.98 L,1622 sq.ft,3 BHK Villa,56.77 L ,62.98 L,12.9197319,77.6901979,POINT (77.6901979 12.9197319)
Adarsh Palm Retreat Mayberry bangalore,59 L -62.75 L,1203 sq.ft,2 BHK Apartment,59 L ,62.75 L,12.9164497,77.6942608,POINT (77.6942608 12.9164497)
Adarsh Palm Retreat bangalore,76.83 L -82.11 L,1354-1447 sq.ft,2.5 BHK Apartment,76.83 L ,82.11 L,12.9234947,77.6851069,POINT (77.68510689999999 12.9234947)
Adarsh Pinecourt bangalore,34.90 L -45.04 L,895-1155 sq.ft,2 BHK Apartment,34.90 L ,45.04 L,13.0837992,77.66192149999999,POINT (77.66192149999999 13.0837992)
Adarsh Premia bangalore,33.40 L -46.70 L,980-1110 sq.ft,2 BHK Apartment,33.40 L ,46.70 L,12.920315,77.5616,POINT (77.5616 12.920315)
